"Slug","Id","Bytes","Note"
"electrobike","1571068316344-75bc76f77890","117680","primary"
"agri-tech-website","1592982537447-7440770cbfc9","299891","primary"
"careervisionx","1552581234-26160f608093","173109","primary"
"cloud-provisioning","1558494949-ef010cbdcc31","186996","primary"
"darkwatch","1550751827-4bd374c3f58b","217014","alt"
"divyadrishti","1573497019418-b400bb3ab074","249562","primary"
"ea-tuition-app","1554415707-6e8cfc93fe23","110793","primary"
"fee-management","1554224155-6726b3ff858f","100629","primary"
"hotel-app","1566073771259-6a8506099945","228795","primary"
"invoice-system","1450101499163-c8848c66ca85","84395","primary"
"jewelry-pos","1515562141207-7a88fb7ce338","76884","primary"
"market-pulse","1611974789855-9c2a0a7236a3","74015","primary"
"medicine-search","1584308666744-24d5c474f2ae","191348","primary"
"mindora","1545389336-cf090694435e","224196","primary"
"student-portal","1606761568499-6d2451b23c66","157912","primary"
"teacher-portal","1577896851231-70ef18881754","195548","primary"
"tvk","1565299585323-38d6b0865b47","274779","primary"
"vkmg-landing","1497366216548-37526070297c","109060","primary"
"vkmg-report-app","1454165804606-c3d57bc86b40","128237","primary"
"voyagr","1488646953014-85cb44e25828","303652","primary"
"zyntra","1559028012-481c04fa702d","222214","primary"
